几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
我12月22日没有收到退款，请帮我查一下,2022-12-22给您退款了退款是原路返回的,20230112 12:51:48
有没有《哈利波特与被诅咒的孩子》书籍,用户手动离线,20230125 09:15:56
购买的披萨什么时候能发货,收货地址是否可以正常接收快递，用户未告知离线，已钉钉供应商群催促,20221104 19:17:16
购买的披萨什么时候能发货,昨天用中通已发出，中通78634560612574,20221116 14:46:42
购买的披萨什么时候能发货,这个已帮您反馈催促了哦,20221114 19:41:39
询问商品换货情况，并提供寄回电商,已反馈商家,20230325 10:02:30
订单退款被拒绝了,已钉钉核实,20230422 16:47:06
陈显锋支付宝账号,反馈商家处理,20230110 19:21:18
不能退换？,发群询问,20230102 14:17:39
退换怎么弄,请问是任何环境都会自动断开吗,20230101 20:13:20
漫步者耳机X2什么意思电商,是耳机型号,20230324 14:57:56
请问一下多久可以发货啊,预计4.30日起陆续发货,20230428 22:50:09
我拿的是袋子装的，广告上是盒子装的,提供收到的商品图片呢用户称我明天发给你看,20221205 21:54:14
我这订单怎么看不到的呢！我昨天买的物流都没有消息，，铁达信暖手宝移动电源,下单后48小时发货的,20221205 14:34:26
实体卡礼盒里没有,您将收到的快递全部东西拍照下发给小喜呢,20230211 11:22:47
我自己已经买了一个。我想再帮朋友买一个但不知道他是否适应若不适应就要退货。,这边帮您反馈商家是否解决：,20221029 23:04:50
未发货退款，,催促,20230107 22:42:41
我购物车的书是新的吗,都是未拆封的呢,20230223 18:22:37
电商【买1得2】VIP会员1年+外交官橙色便携折叠背包我没收到实物也没给我发收件码啊,"2023-03-1419:52:47[代收点]您的快件已签收，签收人在【熊猫快收的熊猫快收水榭花城店】(水榭花城C1华联超市旁理发店内)签收。如有疑问请电联：17333625605,投诉电话：0316-6840647,您的快递已经妥投。风里来雨里去,只为客官您满意。上有老下有小,赏个好评好不好？【请在评价快递员处帮忙点亮五颗星星哦~】",20230314 22:15:45
会起球吗？,不会的哦您放心是否解决：,20221206 14:24:35
购买的耳机退货，目前没有收到退货地址,地址：耿泽达13535226873广东省深圳市罗湖区清水河街道银湖住宅区,20221210 18:59:18
上次反馈的耳机充电盒的问题一直没有反馈这个充电盒质量有问题，我要退货，麻烦通过一下,那这边尽快反馈商家有回复给您短信告知是否解决：,20221210 09:03:48
我买的会员送的两件套，为啥只有一件，【买1得2】喜马拉雅VIP年卡+养生壶+（单刀）绞肉机，,丰网速运990101394586964极兔快递JT3017243728852,20221109 22:05:41
我商城21号早上买的东西咋还没有发货呢,实物商品会在下单72小时内由供应商发货，若所在地区受疫情影响可能延缓发货，具体以后台订单物流信息为准，可在“喜马拉雅APP-我的-全部服务--订单“中查看物流信息,20221123 16:29:39
催促退款,催促,20221129 10:28:44
商城买的东西多久能发货,实物商品会在下单72小时内由供应商发货，若所在地区受疫情影响可能延缓发货，具体以后台订单物流信息为准，可在“喜马拉雅APP-我的-全部服务--订单“中查看物流信息,20221122 23:25:39
买东西咋还不发货呢，不说72小时之内嘛,这边为您催促一下哦有回复这边给您短信告知哦是否解决：,20221124 13:24:58
商家:久留米(深圳)品牌管理有限公司，寄出单号，用户退货，辛苦核实下是否收到，是否可以退款,反馈,20230219 20:58:30
什么时候能退款,这边为您反馈催促尽快处理哦,20230213 18:15:01
这耳机带麦克风吗？,请问是哪一款呢,20230421 12:28:16
催促物流,已反馈商家催促,20230130 20:51:41
波波球有一本古诗词点读书可以单独购买吗？,目前并无单独售卖的需要购买套餐获取呢,20230211 18:09:54
能量礼盒里是年卡还是季卡,喜马拉雅×keep能量礼盒（内含小雅Nano、Keep瑜伽垫兑换卡、喜马拉雅年卡&Keep季卡兑换卡、明信片套装）喜马拉雅年卡和Keep季卡都包含的,20230208 09:07:02
喜马有没有卖2023年日历哦,建议您在喜马拉雅APP-我的-商城页面搜索下日历哦,20221203 12:52:03
（来自商家:上海珍犀食品有限公司）用户进线要求补发，辛苦核实处理,催促补发，用户离线,20230202 17:33:25
我买了孙瑞玲的绘本，说会送音频，但是点进来是付费的，我应该怎么咨询，淘宝的,您的问题需要您咨询购买平台、收款平台的哦,20221028 14:25:01
左耳耳机有杂音,反馈私信,20230422 19:38:00
这个产品里有音频吗,是实体书哦是否解决：,20230105 09:44:50
喜马拉雅手机app里的内容是否可以全部播放音箱可以在不连接手机的情况下播放喜马拉雅会员的所有内容吗,可以的小雅音箱支持播放喜马拉雅APP平台内主播版权认可的1亿+有声节目，畅听千万正版音乐。也可以直接点播腾讯新闻，广播电台，儿童故事以及喜马拉雅账号已购买的付费节目等，是您家里的有声图书馆。温馨提示：若您的喜马拉雅账号已是会员，可使用账号登录小雅音箱播放会员内容,20230308 09:02:38
声阔智能眼镜有没有充电线卖？,暂时没有呢,20230221 15:49:03
暂时不需要了麻烦退一下款,帮您登记是否解决：,20221227 09:12:19
商城买的东西几天发货,这边反馈催促下哦,20221206 10:18:56
请问这个74元，是纸质书的价格吗？,查看您这个是实体书籍,20221122 23:26:49
催促物流更新（来自商家:武汉市亲子树文化传播有限公司）,催促，用户离线是否解决：,20230108 17:37:21
米白色帽子电商所属供应商名称：浙江栐励商贸有限公司,未发货催促退款已退款,20230401 11:37:08
电商所属供应商名称：浙江栐励商贸有限公司，我现在要退款,您查看下目前已经原路退款了,20230401 10:41:27
这个钱怎么还没有退回，告知摩飞榨汁杯MR9800蓝色:011笔正在申请退款中，查看已经反馈退款了哦，退款成功是原路返回，1-3个工作日到账,查看已经反馈退款了哦，退款成功是原路返回，1-3个工作日到账,20230401 11:50:48
申请退款电商所属供应商名称：浙江栐励商贸有限公司,反馈处理退款,20230401 10:35:33
申请退款电商，8包*100抽所属供应商名称：厦门恒安电子商务有限公司,申请退款中,20230401 11:08:51
积分，9块9就可以吗还是有额外的运费,活动是页面为准，是没有运费的呢,20221118 14:24:22
退款,这边帮您登记一下哦是否解决：,20221220 13:26:54
用户反馈这笔订单已退款，但是自己收到了一个被子的包裹，咨询是否这边厂家发货的，如果是的话自己可以补钱,反馈私信，用户离线,20221107 22:21:49
用户收到了商品，但是已经退款，现在要商品呢，已经重新下单了辛苦这个订单不要发货,反馈厂家不发货,20221111 09:49:34
手办是几个？半年卡电商无,是一个手办哦,20230406 21:12:26
咨询下单修改地址问题,告知下单时支付页面的上方有修改地址的按键,20230104 12:04:29
售前咨询套餐实物的尺寸,已发送截图,20230410 22:05:57
买物品的时候，为什么他说请填写地址一个十八子的手链,这个是需要填写地址的呢,20230302 19:39:14
买物品的时候怎么填写地址？,您购买实物商品的时候，购买系统会让您选择地址的哦,20230302 19:26:33
退款,这边为您处理退款辛苦后续关注一下退款是否到账呢~,20221209 12:13:17
快递编号,为您登记,20221119 13:28:51
用了一次，影响不影响退回,关于您反馈的【翰乐电烤炉BY-H6】问题，现核实为：【可以给您换新处理，麻烦您先垫付运费，收到商品后为您报销运费，退回地址：浙江省金华市永康市芝英二期工业区双宇路199号双宇彩印厂电话：18115792891：收件人：贾永革。麻烦您寄出快递之后再次进线联系小喜，提供您的寄出单号】,20221118 22:00:05
我的订单怎么回事呀、,核实订单已经都送达用户表示自己取一下快递,20221231 12:29:21
我买了¥134的普通年卡，所以需要退掉这张¥198的年卡，已经发送退款申请，怎么还没有办理？,帮您登记退款1-3个工作日到账哦是否解决：,20221227 18:44:48
之前退回的电烤锅，对方已经签收了，中通，用户表示已签收，运费12元，@qq.com，王兴乐，,已反馈核实换货及运费,20230213 14:18:13
我退货都已经退回了怎么不给我退款呢,提供下寄回单号,20230227 18:53:55
退货了怎么不给退款,小喜这边可以看到已显示签收的这边和商家核实确认后会尽快回复您结果的,20230227 22:01:44
何时发货,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解,20221216 10:17:26
"【新品首发,买1得2】喜马拉雅2023声音日历+VIP年卡会员（会员直充,日历11月3日起发货）申请退款",退款是1-3个工作日处理的,20221108 20:04:28
买会员外交官的包怎么挑选颜色电商,您点击购买的页面页面会有标记五个选择一个的商品固定商品颜色无法选择的哦,20230326 22:16:22
我的订单什么时候发货呀？好久了、,这边帮您反馈催促下哦,20230204 13:50:34
催促发货,查询到已经有工作人员为您催促了呢~辛苦后续关注一下订单页面物流是否更新呢~,20221206 20:35:03
用户催促发货辛苦处理，（来自商家:广州泰廷网络科技有限公司,催促，用户离线,20221205 22:59:03
收不到，怎么办,物流异常了需要您这边耐心等待一下是否解决：,20221207 19:40:24
催发货,已经帮您催促的,20230220 12:49:48
怎么还没有发出？,会帮您催促的哦,20230219 19:12:20
几时能发货的？,理解您的心情辛苦您耐心等待这边小喜为您催促一下商家的哈是否解决：,20230219 12:49:40
【超值16斤】酵素抑菌柔顺洗衣液，没有收到货,处理退款,20221203 22:58:53
是不是买耳机就送喜马拉雅会员一年？,178元是1年喜马拉雅会员+1个耳机哦,20230423 18:20:01
什么时候发货,疫情原因暂时无法寄出的,20221212 13:35:40
昨天反馈的H1耳机问题，你们回复的信息找不到了，可以再发一次换货地址电话吗？,地址：深圳市宝安区石岩街道科技四路宏发佳特利高新园东边4栋5楼15012985236张相敏,20221115 15:39:46
用户再次进线催促换货，已告知这边看到客服已经为您反馈了哦辛苦您耐心等待,催促发出,20221119 10:12:20
退款吧,会在1-3个工作日到账您注意查收,20221206 12:02:23
用户表示萌萌兔拍拍灯1不能拍亮2打开开关后不能关闭视频如下要求换货，辛苦核实,已发群反馈,20230220 20:47:47
